"collision_id","borough","crash_date","crash_time","vehicle_1","vehicle_2","vehicle_3","contributing_vehicle_1","contributing_vehicle_2","contributing_vehicle_3"
"4407853","QUEENS","2021-04-16","17:00:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4408242","BROOKLYN","2021-04-12","16:08:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407798","QUEENS","2021-04-16","08:05:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Following Too Closely","No additional car involved","No additional car involved"
"4407797","BRONX","2021-04-15","20:13:00","nan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407349","STATEN ISLAND","2021-04-14","16:30:00","Station Wagon/Sport Utility Vehicle","Sedan","Sedan","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4408032","BROOKLYN","2021-04-15","16:37:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407478","BROOKLYN","2021-04-15","06:05:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4407924","QUEENS","2021-04-16","08:40:00","Sedan","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407539","BROOKLYN","2021-04-14","00:00:00","Station Wagon/Sport Utility Vehicle","PK","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407830","MANHATTAN","2021-04-15","22:25:00","Sedan","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4408290","MANHATTAN","2021-04-16","20:26:00","nan","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407277","MANHATTAN","2021-04-14","08:03:00","Taxi","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407829","MANHATTAN","2021-04-15","12:26:00","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","No additional car involved","Failure to Yield Right-of-Way","Turning Improperly","No additional car involved"
"4456397","BRONX","2021-09-11","22:15:00","Motorcycle","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407441","QUEENS","2021-04-14","16:00:00","Station Wagon/Sport Utility Vehicle","E-Scooter","No additional car involved","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4407856","BROOKLYN","2021-04-16","09:25:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407729","BROOKLYN","2021-04-15","16:00:00","Van","Sedan","Sedan","Unspecified","No additional car involved","No additional car involved"
"4407789","BRONX","2021-04-13","17:55:00","Station Wagon/Sport Utility Vehicle","Bike","No additional car involved","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","No additional car involved","No additional car involved"
"4407576","QUEENS","2021-04-15","10:30:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407414","BROOKLYN","2021-04-14","19:45:00","Sedan","Bike","No additional car involved","Driver Inattention/Distraction","Driver Inattention/Distraction","No additional car involved"
"4407623","MANHATTAN","2021-04-14","07:45:00","Station Wagon/Sport Utility Vehicle","Motorcycle","No additional car involved","Passing or Lane Usage Improper","No additional car involved","No additional car involved"
"4408063","BROOKLYN","2021-04-15","15:18:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407766","MANHATTAN","2021-04-14","10:29:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4408155","BRONX","2021-04-16","23:14:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407866","BROOKLYN","2021-04-16","14:50:00","Station Wagon/Sport Utility Vehicle","Sedan","No additional car involved","Driver Inexperience","No additional car involved","No additional car involved"
"4407453","MANHATTAN","2021-04-14","16:58:00","Sedan","Sedan","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407632","QUEENS","2021-04-14","17:00:00","Sedan","Sedan","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407096","QUEENS","2021-04-14","02:25:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Traffic Control Disregarded","No additional car involved","No additional car involved"
"4407976","MANHATTAN","2021-04-16","12:26:00","Station Wagon/Sport Utility Vehicle","Bus","No additional car involved","Backing Unsafely","No additional car involved","No additional car involved"
"4407714","QUEENS","2021-04-16","00:30:00","Sedan","Bike","No additional car involved","Unsafe Speed","No additional car involved","No additional car involved"
"4407637","BROOKLYN","2021-04-15","14:41:00","Sedan","No additional car involved","No additional car involved","Unspecified","No additional car involved","No additional car involved"
"4407354","BROOKLYN","2021-04-14","11:54:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4408027","BROOKLYN","2021-04-15","14:36:00","Sedan","Station Wagon/Sport Utility Vehicle","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407408","QUEENS","2021-04-15","00:40:00","Sedan","No additional car involved","No additional car involved","Driver Inattention/Distraction","No additional car involved","No additional car involved"
"4407762","QUEENS","2021-04-15","11:00:00","Sedan","Sedan","No additional car involved","Failure to Yield Right-of-Way","No additional car involved","No additional car involved"
"4407805","BROOKLYN","2021-04-14","17:30:00","Station Wagon/Sport Utility Vehicle","No additional car involved","No additional car involved","Turning Improperly","No additional car involved","No additional car involved"
